2020-05-07 22:46:22 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@20e768c{/SQL/execution/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:22 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5c18b30b{/static/sql,null,AVAILABLE,@Spark}
2020-05-07 22:46:23 INFO  StateStoreCoordinatorRef:54 - Registered StateStoreCoordinator endpoint
2020-05-07 22:46:24 INFO  SequenceFileRDDFunctions:54 - Saving as sequence file of type (NullWritable,BytesWritable)
2020-05-07 22:46:24 INFO  deprecation:1173 - mapred.output.dir is deprecated. Instead, use mapreduce.output.fileoutputformat.outputdir
2020-05-07 22:46:24 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:46:25 INFO  SparkContext:54 - Starting job: runJob at SparkHadoopWriter.scala:78
2020-05-07 22:46:25 INFO  DAGScheduler:54 - Got job 0 (runJob at SparkHadoopWriter.scala:78) with 250 output partitions
2020-05-07 22:46:25 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (runJob at SparkHadoopWriter.scala:78)
2020-05-07 22:46:25 INFO  DAGScheduler:54 - Parents of final stage: List()
2020-05-07 22:46:25 INFO  DAGScheduler:54 - Missing parents: List()
2020-05-07 22:46:25 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[3] at saveAsObjectFile at NativeMethodAccessorImpl.java:0), which has no missing parents
2020-05-07 22:46:25 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 77.0 KB, free 366.2 MB)
2020-05-07 22:46:25 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 29.6 KB, free 366.2 MB)
2020-05-07 22:46:25 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on ip-172-31-40-171.us-east-2.compute.internal:39117 (size: 29.6 KB, free: 366.3 MB)
2020-05-07 22:46:25 INFO  SparkContext:54 - Created broadcast 0 from broadcast at DAGScheduler.scala:1039
2020-05-07 22:46:25 INFO  DAGScheduler:54 - Submitting 250 missing tasks from ResultStage 0 (MapPartitionsRDD[3] at saveAsObjectFile at NativeMethodAccessorImpl.java:0) (first 15 tasks are for partitions Vector(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14))
2020-05-07 22:46:25 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 250 tasks
2020-05-07 22:46:25 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, localhost, executor driver, partition 0, PROCESS_LOCAL, 7907 bytes)
2020-05-07 22:46:25 INFO  Executor:54 - Running task 0.0 in stage 0.0 (TID 0)
2020-05-07 22:46:25 INFO  Executor:54 - Fetching file:/home/hadoop/spark_scripting.py with timestamp 1588891582023
2020-05-07 22:46:25 INFO  Utils:54 - /home/hadoop/spark_scripting.py has been previously copied to /mnt/tmp/spark-d0e66e11-86c1-4dbb-a356-7043a3b710e6/userFiles-5a6b0dd4-22a6-4560-a501-391e05cd0fb7/spark_scripting.py
2020-05-07 22:46:26 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
/usr/local/lib64/python2.7/site-packages/resampy/core.py:90: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  if not np.issubdtype(x.dtype, np.float):
2020-05-07 22:46:39 INFO  PythonRunner:54 - Times: total = 13538, boot = 492, init = 932, finish = 12114
2020-05-07 22:46:39 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000000_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000000
2020-05-07 22:46:39 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000000_0: Committed
2020-05-07 22:46:39 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 1809 bytes result sent to driver
2020-05-07 22:46:39 INFO  TaskSetManager:54 - Starting task 1.0 in stage 0.0 (TID 1, localhost, executor driver, partition 1, PROCESS_LOCAL, 7912 bytes)
2020-05-07 22:46:39 INFO  Executor:54 - Running task 1.0 in stage 0.0 (TID 1)
2020-05-07 22:46:39 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:46:39 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 14083 ms on localhost (executor driver) (1/250)
2020-05-07 22:46:39 INFO  PythonAccumulatorV2:54 - Connected to AccumulatorServer at host: 127.0.0.1 port: 54311
2020-05-07 22:46:45 INFO  PythonRunner:54 - Times: total = 5710, boot = -69, init = 81, finish = 5698
2020-05-07 22:46:45 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000001_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000001
2020-05-07 22:46:45 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000001_0: Committed
2020-05-07 22:46:45 INFO  Executor:54 - Finished task 1.0 in stage 0.0 (TID 1). 1723 bytes result sent to driver
2020-05-07 22:46:45 INFO  TaskSetManager:54 - Starting task 2.0 in stage 0.0 (TID 2, localhost, executor driver, partition 2, PROCESS_LOCAL, 7909 bytes)
2020-05-07 22:46:45 INFO  Executor:54 - Running task 2.0 in stage 0.0 (TID 2)
2020-05-07 22:46:45 INFO  TaskSetManager:54 - Finished task 1.0 in stage 0.0 (TID 1) in 5779 ms on localhost (executor driver) (2/250)
2020-05-07 22:46:45 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:46:51 INFO  PythonRunner:54 - Times: total = 6030, boot = -33, init = 34, finish = 6029
2020-05-07 22:46:51 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000002_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000002
2020-05-07 22:46:51 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000002_0: Committed
2020-05-07 22:46:51 INFO  Executor:54 - Finished task 2.0 in stage 0.0 (TID 2). 1723 bytes result sent to driver
2020-05-07 22:46:51 INFO  TaskSetManager:54 - Starting task 3.0 in stage 0.0 (TID 3, localhost, executor driver, partition 3, PROCESS_LOCAL, 7913 bytes)
2020-05-07 22:46:51 INFO  Executor:54 - Running task 3.0 in stage 0.0 (TID 3)
2020-05-07 22:46:51 INFO  TaskSetManager:54 - Finished task 2.0 in stage 0.0 (TID 2) in 6094 ms on localhost (executor driver) (3/250)
2020-05-07 22:46:51 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:46:57 INFO  PythonRunner:54 - Times: total = 5683, boot = -24, init = 27, finish = 5680
2020-05-07 22:46:57 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000003_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000003
2020-05-07 22:46:57 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000003_0: Committed
2020-05-07 22:46:57 INFO  Executor:54 - Finished task 3.0 in stage 0.0 (TID 3). 1723 bytes result sent to driver
2020-05-07 22:46:57 INFO  TaskSetManager:54 - Starting task 4.0 in stage 0.0 (TID 4, localhost, executor driver, partition 4, PROCESS_LOCAL, 7920 bytes)
2020-05-07 22:46:57 INFO  Executor:54 - Running task 4.0 in stage 0.0 (TID 4)
2020-05-07 22:46:57 INFO  TaskSetManager:54 - Finished task 3.0 in stage 0.0 (TID 3) in 5750 ms on localhost (executor driver) (4/250)
2020-05-07 22:46:57 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:02 INFO  PythonRunner:54 - Times: total = 4824, boot = -39, init = 45, finish = 4818
2020-05-07 22:47:02 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000004_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000004
2020-05-07 22:47:02 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000004_0: Committed
2020-05-07 22:47:02 INFO  Executor:54 - Finished task 4.0 in stage 0.0 (TID 4). 1723 bytes result sent to driver
2020-05-07 22:47:02 INFO  TaskSetManager:54 - Starting task 5.0 in stage 0.0 (TID 5, localhost, executor driver, partition 5, PROCESS_LOCAL, 7910 bytes)
2020-05-07 22:47:02 INFO  TaskSetManager:54 - Finished task 4.0 in stage 0.0 (TID 4) in 4868 ms on localhost (executor driver) (5/250)
2020-05-07 22:47:02 INFO  Executor:54 - Running task 5.0 in stage 0.0 (TID 5)
2020-05-07 22:47:02 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:07 INFO  PythonRunner:54 - Times: total = 4715, boot = 7, init = 1, finish = 4707
2020-05-07 22:47:07 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000005_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000005
2020-05-07 22:47:07 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000005_0: Committed
2020-05-07 22:47:07 INFO  Executor:54 - Finished task 5.0 in stage 0.0 (TID 5). 1766 bytes result sent to driver
2020-05-07 22:47:07 INFO  TaskSetManager:54 - Starting task 6.0 in stage 0.0 (TID 6, localhost, executor driver, partition 6, PROCESS_LOCAL, 7914 bytes)
2020-05-07 22:47:07 INFO  TaskSetManager:54 - Finished task 5.0 in stage 0.0 (TID 5) in 4784 ms on localhost (executor driver) (6/250)
2020-05-07 22:47:07 INFO  Executor:54 - Running task 6.0 in stage 0.0 (TID 6)
2020-05-07 22:47:07 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:12 INFO  PythonRunner:54 - Times: total = 5857, boot = -32, init = 33, finish = 5856
2020-05-07 22:47:12 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000006_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000006
2020-05-07 22:47:12 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000006_0: Committed
2020-05-07 22:47:12 INFO  Executor:54 - Finished task 6.0 in stage 0.0 (TID 6). 1766 bytes result sent to driver
2020-05-07 22:47:12 INFO  TaskSetManager:54 - Starting task 7.0 in stage 0.0 (TID 7, localhost, executor driver, partition 7, PROCESS_LOCAL, 7906 bytes)
